FFD Points: X, Y, Z
0.370177995114, 0.00854197811511, 0.94671647072
0.341226759807, -0.0596343587361, 2.89696424276
0.341219830786, 0.00305529294403, 0.946718988127
0.312261237698, -0.0599708947371, 2.89697001388
0.312254047984, 0.000250873009367, 0.946720874048
0.283294914617, -0.0599457981717, 2.89697384817
0.283287464205, 0.000460007568957, 0.946722127037
0.254331995413, -0.0595111555426, 2.89697574358
0.254324284332, 0.00408196911193, 0.946722746432
0.225379740213, -0.0586082606961, 2.89697569978
0.225371768559, 0.0116059674332, 0.946722732116
0.19645045811, -0.0571638727149, 2.8969737195
0.19644222609, 0.0236423333366, 0.94672208499
0.167559918096, -0.0550828464845, 2.89696980948
0.167551426059, 0.0409839295639, 0.94672080725
0.13873475317, -0.0522356296311, 2.89696398208
0.138726001704, 0.0647103412347, 0.946718902943
0.110012911557, -0.048433466408, 2.89695625467
0.110003901592, 0.0963945066913, 0.946716377734
0.0814961220993, -0.0433818536941, 2.89694665481
0.081486855481, 0.138490577706, 0.946713240637
0.0533471949057, -0.0365367747364, 2.89693519053
0.0533376749448, 0.195531951664, 0.946709494277
0.0352148424057, -0.0305124736092, 2.89692656321
0.0352051592521, 0.245733624363, 0.946706674993
0.0264108842841, -0.0268094067527, 2.89692187
0.0264011218942, 0.276592000528, 0.946705141318
0.965572875466, -0.00489454861603, 2.89693453095
0.96557156561, 0.459212774654, 0.946709278734
0.948921081602, -0.00718623379307, 2.89695860457
0.948919621878, 0.440115716462, 0.946717145647
0.915598754934, -0.0116315315293, 2.89700175812
0.915596995307, 0.403072186053, 0.946731247607
0.880440775629, -0.016127881495, 2.89704004461
0.880438699577, 0.365603227488, 0.946743759084
0.845259517617, -0.0204377718842, 2.89707092706
0.845257124931, 0.32968807283, 0.946753851024
0.810056686302, -0.0245679094335, 2.89709440451
0.810053976787, 0.295270833541, 0.946761523118
0.774833661774, -0.0285223462547, 2.8971104762
0.77483063525, 0.262317742582, 0.946766775115
0.739591488537, -0.0323023678645, 2.89711914163
0.739588144831, 0.230818087494, 0.946769606855
0.704330914651, -0.0359062940506, 2.89712040062
0.704327253596, 0.200785869814, 0.946770018275
0.669052300947, -0.0393295840218, 2.89711425326
0.669048322382, 0.172258928836, 0.946768009404
0.633755956426, -0.0425644662651, 2.89710069994
0.633751660191, 0.145302026091, 0.946763580374
0.598441853419, -0.0455997641848, 2.8970797413
0.598437239354, 0.120008298321, 0.946756731391
0.563110001899, -0.0484206688892, 2.89705137827
0.563105069844, 0.0965011509041, 0.946747462761
0.52776030725, -0.0510084049091, 2.89701561175
0.527755057046, 0.0749370434739, 0.946735774776
0.492392799824, -0.0533398566215, 2.89697244241
0.492387231309, 0.0555086030105, 0.946721667657
0.457007698782, -0.0553869095298, 2.89692187
0.457001811798, 0.0384501130831, 0.946705141318
1.0, 0.0, 2.89692187
0.999998999991, 0.5, 0.946705141318
0.997685642212, -0.00033586468588, 2.896921873
0.997684621374, 0.497201174265, 0.946705142299
0.993056764487, -0.00100463968721, 2.896921873
0.993055701988, 0.491628142138, 0.946705142299
0.983797324989, -0.0023304777586, 2.89692187252
0.983796179155, 0.480579675684, 0.946705142143
0.973896299799, -0.00373094550403, 2.89692187
0.973895064855, 0.468909305645, 0.946705141318
0.0341845178078, 0.0301120619289, 0.0399998948113
0.0341748253812, 0.750929667246, 0.0131040697267
0.052374765219, 0.0362540475037, 0.0399998905349
0.0523652365061, 0.80211202733, 0.0131040683292
0.0805726708548, 0.0431913154421, 0.0399998840797
0.0805633959254, 0.85992162999, 0.0131040662198
0.109158022811, 0.0483026581805, 0.039999877598
0.109149005152, 0.902515442914, 0.0131040641016
0.137941477157, 0.0521446306184, 0.0399998711289
0.137932718552, 0.934531346297, 0.0131040619876
0.166836915415, 0.0550214637475, 0.0399998646598
0.166828416871, 0.958504556153, 0.0131040598736
0.195799388119, 0.0571245365909, 0.0399998581947
0.195791150239, 0.976029871093, 0.0131040577609
0.224801372534, 0.058584956219, 0.0399998517249
0.224793395675, 0.988199831828, 0.0131040556467
0.253825698925, 0.0594995204533, 0.0399998452566
0.253817983287, 0.995821073426, 0.0131040535329
0.282861051572, 0.0599425178205, 0.039999838798
0.282853597255, 0.999512656627, 0.0131040514223
0.31189976783, 0.0599728981349, 0.0399998323291
0.311892574863, 0.999765821693, 0.0131040493084
0.340936584247, 0.0596393427852, 0.0399998258547
0.340929652614, 0.996986240106, 0.0131040471927
0.369967874751, 0.0589819675275, 0.0399998193878
0.369961204402, 0.991508204259, 0.0131040450794
0.398991176027, 0.0580354161331, 0.0399998129192
0.398984766889, 0.983620407436, 0.0131040429655
0.428004781937, 0.0568287133794, 0.0399998064515
0.427998633924, 0.97356471875, 0.013104040852
0.00276434543371, 0.00915542379911, 0.0400136300339
0.00275437022304, 0.57629392676, 0.0131085582002
0.00911834441336, 0.016303748241, 0.0400092580383
